"assay","curve_id","study_id","study_short","virus_type","food_matrix","food_category","temperature","detection_method","pretreatment","pcr_pretreat","matrix_group","n_obs","n_nonzero_tp","n_censored","has_censoring","classification","reason"
"infectivity","curve_164","https://doi.org/10.1111/jam.12534","10.1111/jam.12534","GA","mussel","shellfish",90,"PFU","none","not_applicable","shellfish",9,8,3,TRUE,"approximately log-linear","No clear biphasic transition; slope CV 142%, range 2.212 log10/min"
"infectivity","curve_169","https://doi.org/10.1111/jam.12892","10.1111/jam.12892","HAV","clam","shellfish",65,"PFU","none","not_applicable","shellfish",4,3,0,FALSE,"approximately log-linear","Slope CV 5%, range 0.030 log10/min; consistent rate across time points"
"infectivity","curve_170","https://doi.org/10.1111/jam.12892","10.1111/jam.12892","HAV","clam","shellfish",72,"PFU","none","not_applicable","shellfish",4,3,0,FALSE,"approximately log-linear","Slope CV 2%, range 0.010 log10/min; consistent rate across time points"
"infectivity","curve_171","https://doi.org/10.1128/AEM.00425-09","10.1128/AEM.00425-09","MS2","water","simple matrix",72,"PFU","none","not_applicable","simple_matrix",5,4,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 53%, range 3.140 log10/min"
"infectivity","curve_184","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","cream","dairy",65,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 56%, range 0.170 log10/min"
"infectivity","curve_191","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","milk","dairy",65,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 66%, range 0.210 log10/min"
"infectivity","curve_198","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","skim milk","dairy",65,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 96%, range 0.435 log10/min"
"infectivity","curve_185","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","cream","dairy",67,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 61%, range 0.305 log10/min"
"infectivity","curve_194","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","milk","dairy",71,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 132%, range 1.005 log10/min"
"infectivity","curve_201","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","skim milk","dairy",71,"PFU","none","not_applicable","other_food",11,10,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 80%, range 0.670 log10/min"
"infectivity","curve_188","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","cream","dairy",73,"PFU","none","not_applicable","other_food",11,10,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 71%, range 0.810 log10/min"
"infectivity","curve_195","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","milk","dairy",73,"PFU","none","not_applicable","other_food",10,9,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 123%, range 1.200 log10/min"
"infectivity","curve_202","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","skim milk","dairy",73,"PFU","none","not_applicable","other_food",10,9,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 77%, range 0.540 log10/min"
"infectivity","curve_189","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","cream","dairy",75,"PFU","none","not_applicable","other_food",11,10,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 65%, range 0.905 log10/min"
"infectivity","curve_196","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","milk","dairy",75,"PFU","none","not_applicable","other_food",8,7,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 50%, range 0.530 log10/min"
"infectivity","curve_203","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","skim milk","dairy",75,"PFU","none","not_applicable","other_food",8,7,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 83%, range 0.885 log10/min"
"infectivity","curve_190","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","cream","dairy",80,"PFU","none","not_applicable","other_food",5,4,0,FALSE,"approximately log-linear","Slope CV 8%, range 0.160 log10/min; consistent rate across time points"
"infectivity","curve_223","sammi","sammi","TV","PBS","simple matrix",60,"PFU","none","not_applicable","simple_matrix",13,12,2,TRUE,"approximately log-linear","No clear biphasic transition; slope CV 119%, range 6.702 log10/min"
"infectivity","curve_229","sammi","sammi","TV","oyster","shellfish",60,"PFU","none","not_applicable","shellfish",8,7,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 62%, range 0.432 log10/min"
"infectivity","curve_231","sammi","sammi","TV","oyster","shellfish",63,"PFU","none","not_applicable","shellfish",11,10,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 203%, range 2.197 log10/min"
"infectivity","curve_11","10.1007/s12560-014-9176-y","10.1007/s12560-014-9176-y","MNV-1","Abalone meat","shellfish",85,"PFU","none","not_applicable","shellfish",4,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_13","10.1007/s12560-014-9176-y","10.1007/s12560-014-9176-y","MNV-1","Abalone viscera","shellfish",85,"PFU","none","not_applicable","shellfish",3,2,0,FALSE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_63","https://doi.org/10.1016/j.foodcont.2011.10.004","10.1016/j.foodcont.2011.10.004","FCV-F9","PBS","simple matrix",60,"TCID50","none","not_applicable","simple_matrix",5,4,4,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_65","https://doi.org/10.1016/j.foodcont.2011.10.004","10.1016/j.foodcont.2011.10.004","FCV-F9","PBS","simple matrix",80,"TCID50","none","not_applicable","simple_matrix",5,4,4,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_88","https://doi.org/10.1016/j.foodcont.2018.08.031","10.1016/j.foodcont.2018.08.031","TV","strawberry","produce",63,"PFU","none","not_applicable","other_food",6,5,3,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_92","https://doi.org/10.1016/j.foodcont.2018.08.031","10.1016/j.foodcont.2018.08.031","TV","strawberry","produce",80,"PFU","none","not_applicable","other_food",5,4,2,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_112","https://doi.org/10.1016/j.ijfoodmicro.2013.11.026","10.1016/j.ijfoodmicro.2013.11.026","FCV-F9","mussel","shellfish",65,"PFU","none","not_applicable","shellfish",4,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_113","https://doi.org/10.1016/j.ijfoodmicro.2013.11.026","10.1016/j.ijfoodmicro.2013.11.026","FCV-F9","mussel","shellfish",72,"PFU","none","not_applicable","shellfish",4,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_118","https://doi.org/10.1016/j.ijfoodmicro.2013.11.026","10.1016/j.ijfoodmicro.2013.11.026","MNV-1","mussel","shellfish",72,"PFU","none","not_applicable","shellfish",4,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_130","https://doi.org/10.1016/j.ijfoodmicro.2018.05.013","10.1016/j.ijfoodmicro.2018.05.013","TV","oyster homogenate","shellfish",63,"PFU","none","not_applicable","shellfish",5,4,3,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_125","https://doi.org/10.1016/j.ijfoodmicro.2018.05.013","10.1016/j.ijfoodmicro.2018.05.013","MNV-1","oyster homogenate","shellfish",67,"PFU","none","not_applicable","shellfish",5,4,2,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_131","https://doi.org/10.1016/j.ijfoodmicro.2018.05.013","10.1016/j.ijfoodmicro.2018.05.013","TV","oyster homogenate","shellfish",67,"PFU","none","not_applicable","shellfish",4,4,4,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_126","https://doi.org/10.1016/j.ijfoodmicro.2018.05.013","10.1016/j.ijfoodmicro.2018.05.013","MNV-1","oyster homogenate","shellfish",100,"PFU","none","not_applicable","shellfish",4,3,1,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_132","https://doi.org/10.1016/j.ijfoodmicro.2018.05.013","10.1016/j.ijfoodmicro.2018.05.013","TV","oyster homogenate","shellfish",100,"PFU","none","not_applicable","shellfish",4,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_133","https://doi.org/10.1046/j.1365-2672.1999.00935.x","10.1046/j.1365-2672.1999.00935.x","HAV","mussel","shellfish",60,"TCID50","none","not_applicable","shellfish",3,2,1,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_137","https://doi.org/10.1089/fpd.2010.0681","10.1089/fpd.2010.0681","HAV","clam","shellfish",90,"PFU","none","not_applicable","shellfish",3,3,1,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_141","https://doi.org/10.1089/fpd.2010.0681","10.1089/fpd.2010.0681","MNV-1","clam","shellfish",90,"PFU","none","not_applicable","shellfish",3,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_152","https://doi.org/10.1111/j.1365-2672.2009.04179.x","10.1111/j.1365-2672.2009.04179.x","HAV","water","simple matrix",63,"PFU","none","not_applicable","simple_matrix",5,4,2,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_156","https://doi.org/10.1111/j.1365-2672.2009.04179.x","10.1111/j.1365-2672.2009.04179.x","MNV-1","milk","dairy",63,"PFU","none","not_applicable","other_food",5,4,2,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_150","https://doi.org/10.1111/j.1365-2672.2009.04179.x","10.1111/j.1365-2672.2009.04179.x","HAV","milk","dairy",72,"PFU","none","not_applicable","other_food",5,4,3,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_154","https://doi.org/10.1111/j.1365-2672.2009.04179.x","10.1111/j.1365-2672.2009.04179.x","HAV","water","simple matrix",72,"PFU","none","not_applicable","simple_matrix",5,4,4,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_158","https://doi.org/10.1111/j.1365-2672.2009.04179.x","10.1111/j.1365-2672.2009.04179.x","MNV-1","milk","dairy",72,"PFU","none","not_applicable","other_food",5,4,4,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_162","https://doi.org/10.1111/j.1365-2672.2009.04179.x","10.1111/j.1365-2672.2009.04179.x","MNV-1","water","simple matrix",72,"PFU","none","not_applicable","simple_matrix",5,4,4,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_197","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","milk","dairy",80,"PFU","none","not_applicable","other_food",3,2,0,FALSE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_204","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","skim milk","dairy",80,"PFU","none","not_applicable","other_food",3,2,0,FALSE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_208","https://doi.org/10.4315/0362-028X.JFP-13-289","10.4315/0362-028X.JFP-13-289","FCV-F9","spinach","produce",65,"PFU","none","not_applicable","other_food",4,3,1,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_213","https://doi.org/10.4315/0362-028X.JFP-13-289","10.4315/0362-028X.JFP-13-289","MNV-1","spinach","produce",65,"PFU","none","not_applicable","other_food",4,3,1,TRUE,"insufficient information","Only 2 non-censored non-zero time points; cannot assess shape"
"infectivity","curve_209","https://doi.org/10.4315/0362-028X.JFP-13-289","10.4315/0362-028X.JFP-13-289","FCV-F9","spinach","produce",72,"PFU","none","not_applicable","other_food",4,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_214","https://doi.org/10.4315/0362-028X.JFP-13-289","10.4315/0362-028X.JFP-13-289","MNV-1","spinach","produce",72,"PFU","none","not_applicable","other_food",4,3,2,TRUE,"insufficient information","Fewer than 2 non-censored non-zero time points"
"infectivity","curve_16","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","bilberry","produce",70,"PFU","none","not_applicable","other_food",7,6,0,FALSE,"potentially biphasic","Early mean slope 1.197 log10/min, late 0.135 log10/min (8.9x ratio); 2 late-phase segments"
"infectivity","curve_22","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","strawberry","produce",70,"PFU","none","not_applicable","other_food",7,6,0,FALSE,"potentially biphasic","Early mean slope 0.793 log10/min, late 0.190 log10/min (4.2x ratio); 2 late-phase segments"
"infectivity","curve_145","https://doi.org/10.1093/jambio/lxae033","10.1093/jambio/lxae033","MS2","water","simple matrix",70,"PFU","none","not_applicable","simple_matrix",10,9,0,FALSE,"potentially biphasic","Early mean slope 0.731 log10/min, late 0.048 log10/min (15.2x ratio); 3 late-phase segments"
"infectivity","curve_192","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","milk","dairy",67,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"potentially biphasic","Early mean slope 0.477 log10/min, late 0.101 log10/min (4.7x ratio); 4 late-phase segments"
"infectivity","curve_199","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","skim milk","dairy",67,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"potentially biphasic","Early mean slope 0.538 log10/min, late 0.102 log10/min (5.2x ratio); 4 late-phase segments"
"infectivity","curve_186","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","cream","dairy",69,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"potentially biphasic","Early mean slope 0.471 log10/min, late 0.129 log10/min (3.7x ratio); 4 late-phase segments"
"infectivity","curve_193","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","milk","dairy",69,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"potentially biphasic","Early mean slope 0.560 log10/min, late 0.074 log10/min (7.6x ratio); 4 late-phase segments"
"infectivity","curve_200","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","skim milk","dairy",69,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"potentially biphasic","Early mean slope 0.556 log10/min, late 0.143 log10/min (3.9x ratio); 4 late-phase segments"
"infectivity","curve_187","https://doi.org/10.4315/0362-028X-63.4.522","10.4315/0362-028X-63.4.522","HAV","cream","dairy",71,"PFU","none","not_applicable","other_food",12,11,0,FALSE,"potentially biphasic","Early mean slope 0.450 log10/min, late 0.134 log10/min (3.4x ratio); 4 late-phase segments"
"infectivity","curve_1","10.1007/s12560-010-9052-3","10.1007/s12560-010-9052-3","HAV","mussel","shellfish",100,"PFU","none","not_applicable","shellfish",6,5,1,TRUE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 1.000 log10/min; consistent with Weibull n!=1"
"infectivity","curve_8","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MS2","3% fat milk","dairy",60,"PFU","none","not_applicable","other_food",5,4,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 0.017 log10/min; consistent with Weibull n!=1"
"infectivity","curve_10","10.1007/s12560-014-9176-y","10.1007/s12560-014-9176-y","MNV-1","Abalone meat","shellfish",70,"PFU","none","not_applicable","shellfish",5,4,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 0.407 log10/min; consistent with Weibull n!=1"
"infectivity","curve_12","10.1007/s12560-014-9176-y","10.1007/s12560-014-9176-y","MNV-1","Abalone viscera","shellfish",70,"PFU","none","not_applicable","shellfish",5,4,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 0.223 log10/min; consistent with Weibull n!=1"
"infectivity","curve_14","10.1007/s12560-016-9248-2","10.1007/s12560-016-9248-2","MS2","PBS","simple matrix",60,"PFU","none","not_applicable","simple_matrix",4,3,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 0.027 log10/min; consistent with Weibull n!=1"
"infectivity","curve_20","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","raspberry","produce",75,"PFU","none","not_applicable","other_food",6,5,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 2.630 log10/min; consistent with Weibull n!=1"
"infectivity","curve_29","10.1111/jfs.12113","10.1111/jfs.12113","MNV-1","dried mussels","shellfish",85,"TCID50","none","not_applicable","shellfish",4,3,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 0.291 log10/min; consistent with Weibull n!=1"
"infectivity","curve_34","10.1128/AEM.00428-14","10.1128/AEM.00428-14","HAV","mussel","shellfish",72,"PFU","none","not_applicable","shellfish",4,3,0,FALSE,"smooth shoulder/tailing","Slopes increasing (shoulder), no abrupt transition; slope range 1.048 log10/min; consistent with Weibull n!=1"
"infectivity","curve_47","https://doi.org/10.1007/s12560-020-09443-z","10.1007/s12560-020-09443-z","HAV","milk","dairy",85,"PFU","none","not_applicable","other_food",5,5,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 8.940 log10/min; consistent with Weibull n!=1"
"infectivity","curve_49","https://doi.org/10.1007/s12560-020-09443-z","10.1007/s12560-020-09443-z","HAV","milk","dairy",90,"PFU","none","not_applicable","other_food",4,4,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 9.240 log10/min; consistent with Weibull n!=1"
"infectivity","curve_51","https://doi.org/10.1007/s12560-020-09443-z","10.1007/s12560-020-09443-z","HAV","milk","dairy",95,"PFU","none","not_applicable","other_food",3,3,0,FALSE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 15.900 log10/min; consistent with Weibull n!=1"
"infectivity","curve_81","https://doi.org/10.1016/j.foodcont.2018.08.031","10.1016/j.foodcont.2018.08.031","MNV-1","strawberry","produce",63,"PFU","none","not_applicable","other_food",6,5,1,TRUE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 1.717 log10/min; consistent with Weibull n!=1"
"infectivity","curve_90","https://doi.org/10.1016/j.foodcont.2018.08.031","10.1016/j.foodcont.2018.08.031","TV","strawberry","produce",72,"PFU","none","not_applicable","other_food",6,5,1,TRUE,"smooth shoulder/tailing","Slopes decreasing (tailing), no abrupt transition; slope range 4.135 log10/min; consistent with Weibull n!=1"
